Url;Status code;Status name;Fetch Time;Modified Time;Retries since fetch;Retry interval seconds;Retry interval days;Score;Signature;Metadata
"https://www.aoncadis.org/contact/Roger%20Bales/project.html";2;"db_fetched";Wed Dec 03 10:43:41 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"0e6e300bf940199e7105e7f0c5967a35";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:547|||"
"https://www.aoncadis.org/contact/Roger%20G.%20Barry/project.html";2;"db_fetched";Wed Dec 03 09:38:53 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"abbec8a0ff48885b8266aa1bb6b5a52b";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:512|||"
"https://www.aoncadis.org/contact/Ronald%20Benner/project.html";2;"db_fetched";Wed Dec 03 10:31:04 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"b22deea57b3f848a77c86675b1109fd9";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:501|||"
"https://www.aoncadis.org/contact/Ronald%20Brunner/project.html";2;"db_fetched";Wed Dec 03 09:57:17 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"fe05f6d6af85b2568a6e8ba697c36438";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:492|||"
"https://www.aoncadis.org/contact/Sean%20Arms/project.html";2;"db_fetched";Wed Dec 03 10:42:47 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"7ed66e3c941498dca5e2951acf9d73e2";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:524|||"
"https://www.aoncadis.org/contact/Syndonia%20Bret-Harte/project.html";2;"db_fetched";Wed Dec 03 10:08:21 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"a6cf47d4819c3cb8c27063f33b4eea0f";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:558|||"
"https://www.aoncadis.org/contact/Uma%20Bhatt/project.html";2;"db_fetched";Wed Dec 03 10:35:21 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"529d349d961cd1b17a976ff5e53c5933";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:511|||"
"https://www.aoncadis.org/contact/William%20Bowden/project.html";2;"db_fetched";Wed Dec 03 09:52:37 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"6958a7e1bc741da1fce0e0e0f9e17f94";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:540|||"
"https://www.aoncadis.org/contact/Yarrow%20Axford/project.html";2;"db_fetched";Wed Dec 03 09:31:19 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;2.3529412E-4;"92c1a7e1e1e159d5a793e5b69237b0a6";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:577|||"
"https://www.aoncadis.org/contactUs.htm";2;"db_fetched";Wed Dec 03 09:26:00 UTC 2014;Thu Jan 01 00:00:00 UTC 1970;0;2592000.0;30.0;0.04543806;"aeca88acff5b301540cba9829593a9de";"Content-Type:application/xhtml+xml|||_pst_:success(1), lastModified=0|||_rs_:685|||"
